      A            B             c            D                                  E             F                 G
1438        MDA97294C0016    P00029     BDMFEDERAL   STOWACTD                                 5/27/1999          $40,000.00
1439        MDA97294C0016    P00030     BDMFEDERAL   STOWACTD                                   911 /1999        $55,930.00
1440        MDA97294D0001    D003/P16   VRT          BADD                                     12/9/1998          $73,374.00
1441        MDA97294D0001    0032/3     VRT          AGILE INFO CONTROL ENVIRONMENT           2/12/1999        $100,095.00
1442        MDA97294D0001    003202     VALLEYELEC   AGILE INFO CONTROL ENVIRONMENT          12/22/1998         $100,095.00
1443        MDA972951 0016   GR03       ARIZONASTA   VLSI PHOTONICS                           3/1 5/1999       $149,984.00
1444        MDA9729530027    P00014     BELLCORE     BROADBAND INFORMATION TECHNOLOGY           1/4/1999     $4,547,200.00
1445        MDA9729530029    A00009     PLANARAMER   HIGH DEFINITION SYSTEMS (HDS)              5/4/1999               $0.00
1446        MDA9729530029    GR0008     PLANARAMER   HIGH DEFINITION SYSTEMS (HDS)           11/10/1998      $7,570,137.00
1447        MDA9729530036    GR06       ITNENERGYS   PHOTOVOLTAICS (VP)                      11/1 8/1998        $558,900.00
1448        MDA9729530042    GR011      CRAYRESEAR   SHOCC                                      6nt1999      $1 ,289,562.00
1449        MDA97295C0004    P00008     UMASS        LARGE MILLIMETER TELESCOPE               8/30/1999      $1 ,151 ,500.00
1450        MDA97295C0021    P00012     HUGHESRESL   VIRTUAL ELECTROMAGNETIC TEST RANGE       7/26/1999         $498,383.00
1451        MDA97295C0032    P00012     ART I        CONTRACT ADMINISTRATION                  12/2/1998      $2,000,000.00
1452        MDA97295C0032    P00014     ART I        ADMINISTRATIVE SUPPORT                   3/30/ 1999        $290,000.00
1453        MDA97295C0032    P00014     ARTI         CONTRACT ADM INISTRATION                 3/30/ 1999     $1,516,319.00
1454        MDA97295C0032    P00014     ARTI         JLTO SUPPORT COSTS-ISO                   3/30/1999         $210,500.00
1455        MDA97295C0032    P00014     ART!         STARLIGHT SUPPORT COSTS-ITO              3/30/1999         $210,500.00
1456        MDA97295C0032    P00015     ARTI         STARLIGHT SUPPORT COSTS-ITO                6/8/1999               $0.00
1457        MDA97295C0032    P00016     ARTI         CONTRACT ADMINISTRATION                  8/31/1999         $490,071.00
1458        MDA97295C0032    P00016     ARTI          DARPA TECH                              8/31 /1999          $48,000.00
1459        MDA97295C0033    P00018     ARTI         SECURITY SUPPORT                           3/1/1999     $1,321 ,000.00
1460        MDA97295C0033    P00019     ARTI         SECURITY SUPPORT .                         9/3/1999        $423,212.00
1461        MDA97295D0002    00001101   DIGITSYSIN   CONTRACT ADMINISTRATION                  3/10/1999            $3,417.00
1462        MDA97295D0002    00001101   DIGITSYSIN   CONTRACTS MANAGEMENT                     3/10/1 999           $5,286.00
1463        MDA97295D0002    00001102   DIGITSYSIN   CONTRACTS MANAGEMENT                     4/1 6/1999               $0.00
1464        MDA9729500002    00001103   DIGITSYSIN    CONTRACTS MANAGEMENT                    8/12/1999        ($1 09,494.00)
1465        MDA97295D0002    00010/05   DIGITSYSIN    CONTRACTS MANAGEMENT                     12/8/ 1998         $65,572.00
1466        MDA97295D0002    0001006    DIGITSYSIN    CONTRACTS MANAGEMENT                     5/27/ 1999        ($10,000.00
     A          B             c            D                                             E                        F                G
  1 FY   CONTRACT NUMBER CONTRACT MOD PERFORMER      PROGRAM TITLE                                           AWARD DATE       AMOUNT
  2
1467     MDA97295D0002    000104        DIGITALSYS   CONTRACT ADMINISTRATION                                    10/22/1998         $60,000.00
1468     MDA97295D0002    0011          DIGITSYSIN   CONTRACTS MANAGEMENT                                        1/17/1999       $566,045.00
1469     MDA97295D0002    P00018        DIGITSYSIN   CONTRACTS MANAGEMENT                                        4/16/1999              $0.00
1470     MDA9729610005    GR0004        SOFTPROCON   RTAP                                                        6/29/1999     $1 ,926,000.00
1471     MDA972961 0006   GR0003        CNRI         INFORMATION MANAGEMENT                                        4/7/1999      $808,440.00
1472     MDA9729610006    P00003        CNRI         INFORMATION MANAGEMENT                                        2/8/1999      $244,629.00
1473     MDA9729610006    P00005        CNRI         INFORMATION MANAGEMENT                                      8/24/1999              $0.00
1474     MDA9729630014    P00005        SDLINC       SOLAR BLIND DETECTORS                                       12/9/1998       $250,000.00
1475     MDA9729630014    P00006        SDLINC       SOLAR BLIND DETECTORS                                       3/25/1999              $0.00
1476     MDA9729630016    P00004        MOTOROLA     MAGNETIC MATERIALS AND DEVICES                              1/14/1999       $810,734.00
1477     MDA9729630016    P00005        MOTOROLA     MAGNETIC MATERIALS AND DEVICES                              6/15/1999     $1,000,000.00
1478     MDA9729690800    P00010        UARIZONA     Precision Optics                                            3/12/1999     $2,790,100.00
1479     MDA97296C0017    P00011        CERIDIAN     AGILE INFO CONTROL ENVIRONMENT                              4/26/1999     $3,497,712.00
1480     MDA97296C0017    P00011        CERIDIAN     BADD                                                        4/26/1999       $300,000.00
1481     MDA97296C0017    P00012        CERIDIAN     AGILE INFO CONTROL ENVIRONMENT                                8/4/1999             $0.00
1482     MDA97296C0030    P00006        IBM          MAGNETIC MATERIALS AND DEVICES                                2/1/1999    $1,606,470.00
1483     MDA97296C0801    P00008        TEXASINSTR   Compact Lasers                                              2/26/1999            $874.00
1484     MDA97296D0002    D0000813      JOHNSHOPUA   Discoverer II                                               3/29/1999              $0.00
1485     MDA97296D0002    D0000814      JOHNSHOPUA   Seedlings TT-06                                             6/16/1999              $0.00
1486     MDA97296D0002    D0001114      JHAPL        CHEM/BIO DEFENSE (ADV DEV)                                    5/3/1999      $450,000.00
1487     MDA97296D0002    D0001116      JHAPL        BWD/DETECTION (PBD 203)                                     5/27/1999         $97,000.00
1488     MDA9729600002    D0001117      JOHNSHOPUA   Seedlings TT-06                                             6/10/1999              $0.00
1489     MDA9729600002    D0001118      JHAPL        BIO DETECTION &IDENTIFICATION                               6/10/1999         $50,000.00
1490     MDA97296D0002    D0002304      JOHNSHOPUA   ADVANCED SIMULATION TECH                                    1/20/1999       $333,929.00
1491     MDA97296D0002    D0002415      JHAPL        BWD/DETECTION (PBD 203)                                     5/27/1999         $97,000.00
1492     MDA97296D0002    D0002418      JOHNSHOPUA   SENSOR EMULATION                                            8/23/1999              $0.00
1493     MDA97296D0002    00002506      JOHNSHOPUA   Seedlings TT-06                                             8/25/1999       $100,000.00
1494     MDA9729600002    D0002705      JOHNSHOPUA   Seedlings TT-06                                             3/12/1999              $0.00
1495     MDA97296D0002    D0002801      JOHNSHOPUA   ARRMD: Affordable Rapid Response Missile Demonstrator       1/19/1999       $500,000.00
1496     MDA9729600002    D0003002      JOHNSHOPUA   Discoverer II                                                 4/9/1999             $0.00
1497     MDA97296D0002    D0003201      JOHNSHOPUA   Discoverer II                                               3/31/1999       $599,878.00
1498     MDA97296D0002    D00033        JOHNSHOPUA   BUOYANT ANTENNA                                            10/15/1998       $980,000.00
1499     MDA97296D0002    D0003301      JOHNSHOPUA   BUOYANT ANTENNA                                             2/18/1999         $70,000.00
1500     MDA97296D0002    00003302      JOHNSHOPUA   SUB STUDY (SUBMARINE PAYLOADS AND SENSORS                     7/2/1999        $30,000.00
1501     MDA97296D0002    D0003303      JOHNSHOPUA    SENSOR EMULATION                                           7/13/1999              $0.00
1502     MDA97296D0002    000036        JHAPL         BW                                                           4/6/1999    $2,100,000.00
1503     MDA9729600002    D0015/P11     JOHNSHOPUA   ADVANCED SIMULATION TECH                                   12/23/1998              $0.00
1504     MDA97296D0002    D0015033/P1   JOHNSHOPUA    UNDERSEA LITTORAL WARFARE                                 12/23/1998              $0.00
1505     MDA97296D0002    D0016P4       JOHNSHOPUA    BW                                                        12/23/1998              $0.00
1506     MDA97296D0002    D002416       JOHNSHOPUA    BWD/DETECTION (PBD 203)                                    6/30/1999       $921 ,400.00
1507     MDA97296D0002    D007P11       JOHNSHOPUA    UNDERSEA LITTORAL WARFARE                                 11/18/1998       $100,000.00
1508     MDA9729600002    0011/P13      JOHNSHOPUA    CHEM/BIO DEFENSE (ADV DEV)                                  1/13/1999    $1,790,000.00
1509     MDA9729600002    D011015       JOHNSHOPUA    CHEM/BIO DEFENSE (ADV DEV)                                 5/25/1999        $267,500.00
1510     MDA9729600002    D02008        JHAPL         CHEM/BIO DEFENSE (ADV DEV)                                   5/3/1999             $0.00
1511     MDA9729600002    D023/P3       JOHNSHOPUA    ADVANCED SIMULATION TECH                                  11/17/1998         $91,071 .00
1512     MDA97296D0002    D02305        JOHNSHOPUA    ADVANCED SIMULATION TECH                                    1/25/1999        $40,056.00
1513     MDA97296D0002    D02413        JOHNSHOPUA    Seedlings TT-06                                            3/24/1999               $0.00
     A          B             c            D                                             E            F                G
  1 FY   CONTRACT NUMBER CONTRACT MOD PERFORMER   PROGRAM TITLE                                  AWARD DATE       AMOUNT
 2
1514     MDA97296D0002     D024P12   JHAPL        BWD/DETECTION(PBD 203)                             1/26/1999      $741,000.00
1515     MDA97296D0002     D02505    JOHNSHOPUA   Seedlings TT-06                                     3/4/1999      $300,000.00
1516     MDA9729600002     D029/P2   JOHNSHOPUA   UNDERSEA LITTORAL WARFARE                         12/22/1998        $30,000.00
1517     MDA97296D0002     D03001    JHAPL        Discoverer II                                      3/19/1999      $900,000.00
1518     MDA97296D0002     D031/P1   JOHNSHOPUA   BW                                                 12/4/1998     $1,950,000.00
1519     MDA97296D0002     D035      JOHNSHOPUA   Discoverer II                                      3/22/1999      $499,052.00
1520     MDA9729600002     0037      JOHNSHOPUA   BADD                                               6/22/1999        $10,523.00
1521     MDA9729600002     0037      JOHNSHOPUA   ISO DIRECTORS TAX FUND SACM4                       6/22/1999        $35,528.00
1522     MDA9729600002     0037      JOHNSHOPUA   ISO DIRECTORS TAX FUND SICE4                       6/22/1999        $49,905.00
1523     MDA97296D0002     0037      JOHNSHOPUA   JFACC                                              6/22/1999        $52,158.00
1524     MDA9729600002     D037      JOHNSHOPUA   SENSOR EMULATION                                   6/22/1999        $51,861.00
1525     MDA97296D0002     D07112    JOHNSHOPUA   UNDERSEA LITTORAL WARFARE                         12/22/1998       $800,000.00
1526     MDA97296D0002     P00009    JOHNSHOPUA   UNDERSEA LITTORAL WARFARE                          1/19/1999              $0.00
1527     MDA97296D0002     P00010    JOHNSHOPUA   Discoverer II                                      5/10/1999              $0.00
1528     MDA97296K0001     BASIC     UVA          CHEMICAL AND BIOLOGICAL DEFENSE                   11/19/1998       $365,396.00
1529     MDA97296K0003     P00005    UALABAMA     BWD/DETECTION(PBD 203)                             12/8/1998       $500,000.00
1530     MDA97296K0003     P00006    UALABAMA     BWD/DETECTION(PBD 203)                              2/8/1999       $400,000.00
1531     MDA97296K0004     P00007    SRI          BWD/DETECTION(PBD 203)                              1/5/1999       $300,000.00
1532     MDA97296K0004     P00008    SRI          BWD/DETECTION(PBD 203)                             7/20/1999              $0.00
1533     MDA9729710003     GR0001    UNIVNEWORL   NANOPHASE MAG PARTICLE(CONG ADD)                   8/11/1999     $3,474,136.00
1534     MDA9729710004     GR03      MARSHALLUR   ADVANCED FLEXIBLE MANUFACTURING                     3/4/1999     $3,400,000.00
1535     MDA972971 001 0   GR02      UCBERKELEY   ADVANCED LITHOGRAPHY                              11/23/1998     $1,380,000.00
1536     MDA972971 0011    GR02      UTAHSTU      BWD/DETECTION(PBD 203)                             12/4/1998       $162,618.00
1537     MDA972971 0012    GR04      UTAHSTU      BWD/DETECTION(PBD 203}                             1/21/1999              $0.00
1538     MDA972971 0012    GR06      UTAHSTU      BWD/DETECTION(PBD 203)                             8/12/1999              $0.00
1539     MDA9729710012     P00003    UTAHSTU      BWD/DETECTION(PBD 203)                             12/8/1998       $150,000.00
1540     MDA972971 0012    P00005    UTAHSTU      BWD/DETECTION(PBD 203}                             4/26/1999        $15,000.00
1541     MDA9729710016     GR05      OREGONGRDC   ADVANCED LOGISTICS TECHNOLOGY                     11/25/1998        $45,000.00
1542     MDA972971 0016    GR06      OREGONGRDC   ADVANCED LOGISTICS TECHNOLOGY                      6/25/1999              $0.00
1543     MDA972971 0016    P00005    OREGONGRDC   ADVANCED LOGISTICS TECHNOLOGY                      2/17/1999       $205,000.00
1544     MDA972971 0020    GR05      CTC          NATL APPLIED SOFTWARE ENG CENTER                   5/14/1999     $2,897,000.00
1545     MDA972971 0022    GR04      ENVISION     CHEMICAL AND BIOLOGICAL DEFENSE                   12/11/1998       $503,630.00
1546     MDA972971 0022    P00005    ENVISION     CHEMICAL AND BIOLOGICAL DEFENSE                    6/25/1999              $0.00
1547     MDA972971 0026    P00002    AUBURNU      DOG'S NOSEIUXO DETECTION                          12/21/1998       $395,320.00
1548     MDA972971 0026    P00003    AUBURNU      DOG'S NOSE/UXO DETECTION                           1/11/1999              $0.00
1549     MDA9729720001     P00006    NELHA        CEROS (FENCED)                                     6/16/1999     $6,510,000.00
1550     MDA9729730008     P00002    HEWLETTPAC   OM NET                                            11/10/1998     $4,600,545.00
1551     MDA9729730008     P00004    HEWLETTPAC    OM NET                                              2/1/1999     ($402, 700.00)
1552     MDA9729730016     GR03      MCDONDOUG     SMART MATERIALS/DEMOS                            11/18/1998     $2,700,000.00
1553     MDA9729730017     P00004    BOEINGDEFS    SMART MATERIALS/ACTUATORS                         12/2/1998       $898,000.00
1554     MDA9729730017     P00004    BOEINGDEFS    SMART MATERIALS/DEMOS                             12/2/1998        $16,000.00
1555     MDA9729730017     P00005    BOEINGDEFS    SMART MATERIALS/DEMOS                               7/9/1999      $650,000.00
1556     MDA9729730018     A00005    RAYTHEON     AM3: Affordable Multi-Missile Manufacturing        3/16/1999              $0.00
1557     MDA9729730018     A00006    RAYTHEON     AM3: Affordable Multi-Missile Manufacturing        5/13/1999              $0.00
1558     MDA9729730018     GR0004    RAYTHEONTI    AM3: Affordable Multi-Missile Manufacturing       1217/1998     $9,901,798.00
1559     MDA9729730018     GR05      RAYTHEONTI    AM3: Affordable Multi-Missile Manufacturing         2/8/1999             $0.00
1560     MDA97297C0001     P00002    SYNERGIA      SBIR SET-ASIDE                                      2/5/1999       $20,000.00
     A          B             c            D                                      E         F                G
  1 FY   CONTRACT NUMBER CONTRACT MOD PERFORMER    PROGRAM TITLE                       AWARD DATE       AMOUNT
  2
1561     MDA97297C0001   P00002      SYNERGIA      SBIR-ADVANCED SIMULATION TECH             2/5/1999        $55,000.00
1562     MDA97297C0001   P00003      SYNERGIA      SBIR SET-ASIDE                          6/29/1999       $750,000.00
1563     MDA97297C0001   P00004      SYNERGIA      SBIR SET-ASIDE                          7/20/1999               $0.00
1564     MDA97297C0006   P00008      HOUSTONASS    STOWACTD                                3/1611999       $345,372.00
1565     MDA97297C0012   A00001      IBM           TRVS                                    5/1311999               $0.00
1566     MDA97297C0012   P00005      IBM           TRVS                                   11/25/1998       $209,431 .00
1567     MDA97297C0012   P00006      IBM           COMMUNICATOR                              1/4/1999      $500,000.00
1568     MDA97297C0012   P00006      IBM           TRVS                                      1/4/1999      $290,569.00
1569     MDA97297C0016   M15         MITRECIVSY    JASON STUDIES                           3/26/1999     $1 '188,000.00
1570     MDA97297C0016   P00014      MITRE         JASON STUDIES                           1/1311999       $200,000.00
1571     MDA97297C0016   P00016      MITRECIVSY    JASON STUDIES                           5/27/1999       $400,795.00
1572     MDA97297C0016   P00018      MITRE         JASON STUDIES                           7/3011999       $176,482.00
1573     MDA97297C0016   P00019      MITRECIVSY    JASON STUDIES                           8/19/1999       $350,000.00
1574     MDA97297C0017   P00004      SAIC          ADVANCED SIMULATION TECH               11/12/1998       $117,420.00
1575     MDA97297C0017   P00005      SAIC          ADVANCED SIMULATION TECH               12/31/1998       $430,533.00
1576     MDA97297C0019   P00007      SRI           CHEM/810 DEFENSE (ADV DEV)              2/24/1999       $912,000.00
1577     MDA97297C0020   P00006      PACSIERRA     BWD/DETECTION(PBD 203)                  12/4/1998       $500,000.00
1578     MDA97297C0020   P00007      PACSIERRA     CHEM/BIO DEFENSE (ADV DEV)              3/29/1999       $480,975.00
1579     MDA97297C0020   P00008      PACSIERRA     CHEM/BIO DEFENSE (ADV DEV)                8/2/1999              $0.00
1580     MDA97297C0022   P00003      SAIC          ADVANCED SIMULATION TECH               11/12/1998       $105,408.00
1581     MDA97297C0022   P00004      SAIC          ADVANCED SIMULATION TECH                1/2011999       $386,493.00
1582     MDA97297C0024   P00008      TASC          ADVANCED SIMULATION TECH               11/17/1998       $107,142.00
1583     MDA97297C0024   P00009 ·    TASC          ADVANCED SIMULATION TECH                2/19/1999       $392,858.00
1584     MDA97297C0027   P00005      APT I         WATER HAMMER                            2/16/1999       $199,309.00
1585     MDA97297C0027   P00006      APT I         WATER HAMMER                              4/1/1999    $2,610,132.00
1586     MDA97297C0028   P00003      SYNTEK        GENOA                                  11/12/1998       $150,000.00
1587     MDA97297C0028   P00004      SYNTEK        GENOA                                   1/25/1999       $103,950.00
1588     MDA97297C0030   P00004      HOWARDUNIV    JTFATD                                  4/19/1999       $119,950.00
1589     MDA97297C0030   P00005      HOWARDUNIV    ISO DIRECTORS TAX FUND SSTI8            7/15/1999       $200,000.00
1590     MDA97297C0030   P00006      HOWARDUNIV    ISO DIRECTORS TAX FUND SSTI8              9/8/1999              $0.00
1591     MDA97297C0031   P00007      NORTHROPGR    CHPS: Combat Hybrid Power Systems         1/6/1999    $2,130,000.00
1592     MDA97297C0031   P00008      NORTHROPGR    CHPS: Combat Hybrid Power Systems       3/12/1999     $1 ,000,000.00
1593     MDA97297C0032   P00003      SAIC          CHPS: Combat Hybrid Power Systems         1/6/1999    $9,250,000.00
1594     MDA97297C0032   P00004      SAIC          CHPS: Combat Hybrid Power Systems       4/30/1999         $30,950.00
1595     MDA97297C0033   P00003      SARNOFFCOR    AGILE INFO CONTROL ENVIRONMENT            5/3/1999      $174,798.00
1596     MDA97297C0033   P00004      SARNOFFCOR    AGILE INFO CONTROL ENVIRONMENT          6/15/1999               $0.00
1597     MDA97297C0033   P00005      SARNOFFCOR    AGILE INFO CONTROL ENVIRONMENT          9/14/1999               $0.00
1598     MDA97297C0035   P00005      LOCKMARTIN    AG ILE INFO CONTROL ENVIRONMENT         4/12/1999       $199,899.00
1599     MDA97297C0041   P00004      MET RON       ADVANCED LOGISTICS TECHNOLOGY           2/17/1999       $550,000.00
1600     MDA97297C0041   P00005      METRON        ADVANCED LOGISTICS TECHNOLOGY           2/22/1999       $350,000.00
1601     MDA97297C0041   P00006      METRON        ADVANCED LOGISTICS TECHNOLOGY           6/25/1999               $0.00
1602     MDA97297C0041   P00007      METRON        ADVANCED LOGISTICS TECHNOLOGY             9/1/1999      $200,000.00
1603     MDA97297C0041   P00008      METRON        ADVANCED LOGISTICS TECHNOLOGY           9/23/1999       $149,999.00
1604     MDA97297C0041   P00009       METRON       ADVANCED LOGISTICS TECHNOLOGY           9/23/1999       $100,000.00
1605     MDA97297C0045   P00003       MCNEILTECH   BADD                                     6/17/1999       $258,264.00
1606     MDA97297C0045   P00003       MCNEILTECH   GENOA                                    6/17/1999       $327,206.00
1607     MDA97297C0045   P00003       MCNEILTECH   JOINT LOGISTICS ACTO                     6117/1999         $93,780.00
     A          B             c            D                                   E                                     F                 G
  1 FY   CONTRACT NUMBER CONTRACT MOD PERFORMER    PROGRAM TITLE                                                AWARD DATE        AMOUNT
 2
1608     MDA97297C0045    P00003     MCNEILTECH    JTF ATD                                                          6/17/1999       $102,706.00
1609     MDA97297C0045    P00004     MCNEILTECH    JTF ATD                                                          8/2411999               $0.00
1610     MDA97297C0800    A00004     ALPINECONS    OBJECT ARCHITECTURE FOR SEMANTICALLY INTEROPERABLE SYSTEMS       6/28/1999               $0.00
1611     MDA97297C0800    GR0027     ALPINECONS    ADVANCED LOGISTICS TECHNOLOGY                                    7/21/1999      $2,135,000.00
1612     MDA97297C0800    GR018      ALPINECONS    ADVANCED LOGISTICS TECHNOLOGY                                     2/1/1999      $3,750,000.00
1613     MDA97297C0800    GR023      ALPINECONS    ADVANCED LOGISTICS TECHNOLOGY                                      6/4/1999       $100,000.00
1614     MDA97297C0800    P00006     ALPINECONS    ADVANCED LOGISTICS TECHNOLOGY                                   11/25/1998               $0.00
1615     MDA97297C0800    P00017     ALPINECONS    ADVANCED LOGISTICS TECHNOLOGY                                   12/14/1998      $2,200,000.00
1616     MDA97297C0800    P00019     BBN           ADVANCED LOGISTICS TECHNOLOGY                                    4/27/1999        $144,000.00
1617     MDA97297C0800    P00020     ALPINECONS    ADVANCED LOGISTICS TECHNOLOGY                                    4/27/1999      $4,384,000.00
1618     MDA97297C0800    P00021     ALPINECONS    ADVANCED LOGISTICS TECHNOLOGY                                    4/27/1999               $0.00
1619     MDA97297C0800    P00022     ALPINECONS    ADVANCED LOGISTICS TECHNOLOGY                                    5/27/1999      $1,785,000.00
1620     MDA97297C0800    P00024     ALPINECONS    OBJECT ARCHITECTURE FOR SEMANTICALLY INTEROPERABLE SYSTEMS         6/9/1999     $1,700,000.00
1621     MDA97297C0800    P00025     BBN           ADVANCED LOGISTICS TECHNOLOGY                                    6/23/1999               $0.00
1622     MDA97297C0800    P00026     BBN           ADVANCED LOGISTICS TECHNOLOGY                                    6/2311999               $0.00
1623     MDA97297C0800    P00028     ALPINECONS    ISO DIRECTORS TAX FUND SMSR9                                     7/26/1999          $56,000.00
1624     MDA97297C0803    GR08       HARRISCORP    COMMON DATA LINK                                                   6/3/1999       $750,000.00
1625     MDA97297C0803    P00007     HARRISCORP    COMMON DATA LINK                                                 2/18/1999      $1,853,441.00
1626     MDA97297C0804    P00005     L-3COMMUNI    COMMON DATA LINK                                                   3/1/1999     $2,036,559.00
1627     MDA97297C0804    P00006     L-3COMMUNI    COMMON DATA LINK                                                   6/3/1999       $750,000.00
1628     MDA97297F0006    P00003     WALCOFF       APLA: SELF HEALING/TAGS/MGM                                      4/13/1999          $20,526.00
1629     MDA97297K0003    P00004     IITRI         BWD/DETECTION(PBD 203)                                           12/4/1998        $184,428.00
1630     MDA9729810005    P00003     CALTECH       HIGH POWER SOLID-STATE ELECTRON!                                12/1 4/1998       $256,638.00
1631     MDA9729810006    P00003     UFLA          HIGH POWER SOLID-STATE ELECTRON!                                12/14/1998        $321,768.00
1632     MDA9729810007    P00003     VANDERBILT    HIGH POWER SOLID-STATE ELECTRON!                                12/14/1998        $204,435.00
1633     MDA9729810008    GR02       UWISCONSIN    LAST CENTER                                                      6/21/1999          $43,650.00
1634     MDA972981 0009   GR03       UTEXAS        FREQUENCY AGILE MATERIALS FORELECTRONICS                         1119/1998        $350,000.00
1635     MDA9729830001    GR02       BOEING        SMART MATERIALS/ACTUATORS                                        2124/1999        $735,760.00
1636     MDA9729830001    GR02       BOEING        SMART MATERIALS/DEMOS                                            2/24/1999      $1,819,008.00
1637     MDA9729830002    P00005     GEAIRCRAFT    ART: Advanced Rotorcraft Technology                                1/6/1999     $1 ,500,000.00
1638     M DA9729830002   P00006     GEAIRCRAFT    ART: Advanced Rotorcraft Technology                              5/12/1999               $0.00
1639     MDA9729830002    P00007     GEAIRCRAFT    ART: Advanced Rotorcraft Technology                                9/7/1999              $0.00
1640     MDA9729830004    GR02       LMAM3         AM3: Affordable Multi-Missile Manufacturing                     11/18/1998      $7,925,688.00
1641     M DA9729830004   GR03       LMAM3         AM3: Affordable Multi-Missile Manufacturing                        2/8/1999              $0.00
1642     MDA9729830004    GR04       LMAM3         AM3: Affordable Multi-Missile Manufacturing                      4/21/1999        $800,000.00
1643     MDA9729830009    P00002     NORTHROPGR    HIGH POWER SOLID-STATE ELECTRON!                                 6/17/1999        $650,000.00
1644     MDA9729890001    P00004     LOCKHEEDMA    RSTVehicle                                                        1/19/1999       $186,083.00
1645     MDA9729890002    P00005     GDLS          RSTVehicle                                                        1/19/1999       $190,842.00
1646     MDA9729890004    GR04       FRONTIERSY    AA V: Advanced Air Vehicle                                         5/5/1999      ($500,000.00)
1647     MDA9729890004    P00002     FRONTIERSY    AAV: Advanced Air Vehicle                                         1/11/1999     $6,565,000.00
1648     MDA9729890004    P00003     FRONTIERSY    AA V: Advanced Air Vehicle                                        1/25/1999               $0.00
1649     MDA9729890006    P00006     NORTHROP       UCAV: Unmanned Combat Air Vehicle                                1212/1998       $874,010.00
1650     MDA9729890006    P00007      NORTHROPGR    UCAV: Unmanned Combat Air Vehicle                                2/16/1999               $0.00
1651     MDA9729890007    P00006     RAYTHEON       UCAV: Unmanned Combat Air Vehicle                                12/2/1998        $518,453.00
1652     MDA9729890007    P00007     RAYTHEON       UCAV: Unmanned Combat Air Vehicle                                2/16/1999               $0.00
1653     MDA9729890008    P00006      BOEINGDEFS    UCAV: Unmanned Combat Air Vehicle                                12/2/1998        $847,010.00
1654     MDA9729890008    P00007      BOEINGDEFS    UCAV: Unmanned Combat Air Vehicle                                  1/6/1999        $27,000.00
      A          B              c           D                                    E            F             G
  1 FY    CONTRACT NUMBER CONTRACT MOD PERFORMER    PROGRAM TITLE                        AWARD DATE    AMOUNT
  2
1655      MDA9729890008    P00008     BOEING        UCAV: Unmanned Combat Air Vehicle          3/3/1999           $0.00
1656      MDA9729890009    GR02       BOEING        AAV: Advanced Air Vehicle               11/23/1998   $3,660,000.00
1657      MDA972989001 0   P00002     RAYTHEONSY    AIRBORNE COMMS NODE                     12/15/1998   $5,600,000.00
1658      MDA9729890011    P00002     LOCKHEED-S    AIRBORNE COMMS NODE                     12/15/1998   $5,600,000.00
1659      MDA9729890012    P00003     TRW           AIRBORNE COMMS NODE                     12/15/1998   $5,600,000.00
1660      MDA9729890013    P00004     ITTINDUSTR    SUO: SITUATION AWARENESS SYS (SAS)      11/24/1998   $5,000,000.00
1661      MDA9729890014    GROG       RAYTHEONSY    SUO: SITUATION AWARENESS SYS (SAS)       5/13/1999             $0.00
