Rank,Unique Visitors (users),Page Views,Reach,Site,Category,Has Advertising
236,12000000,260000000,0.8%,dailymail.co.uk,Newspapers,Yes
237,12000000,300000000,0.8%,alot.com,Online Goodies,Yes
238,12000000,7100000000,0.8%,nasza-klasa.pl,Social Networks,Yes
239,12000000,96000000,0.8%,pchome.net,Computers & Electronics,No
240,12000000,230000000,0.8%,51job.com,Jobs,No
241,12000000,41000000,0.8%,okwave.jp,Forum & Chat Providers,Yes
242,12000000,46000000,0.8%,70yx.com,Online Games,No
243,12000000,120000000,0.8%,rakuten.ne.jp,Shopping Portals & Search Engines,Yes
244,12000000,160000000,0.8%,nikkeibp.co.jp,News Networks,Yes
245,12000000,450000000,0.8%,mlb.com,Baseball,Yes
246,12000000,370000000,0.8%,huffingtonpost.com,Liberal Sites & Organizations,Yes
247,12000000,380000000,0.8%,bestbuy.com,Consumer Electronics,No
248,12000000,67000000,0.8%,freelotto.com,Lotto & Sweepstakes,No
249,12000000,370000000,0.8%,yahoo.net,Online Journals & Personal Sites,Yes
250,12000000,50000000,0.8%,docstoc.com,Forms Guides & Templates,Yes
251,12000000,98000000,0.8%,csdn.net,Programming,Yes
252,12000000,190000000,0.8%,digg.com,News & Current Events,Yes
253,12000000,41000000,0.8%,macromedia.com,Audio & Multimedia,No
254,12000000,450000000,0.8%,tumblr.com,,Yes
255,12000000,190000000,0.8%,twitpic.com,Audio & Multimedia,Yes
256,12000000,160000000,0.8%,impress.co.jp,Technology News,Yes
257,12000000,490000000,0.8%,foxsports.com,Sports,Yes
258,11000000,370000000,0.7%,wikia.com,Dictionaries & Encyclopedias,Yes
259,11000000,720000000,0.7%,t-online.de,Service Providers,Yes
260,11000000,650000000,0.7%,verizonwireless.com,Phone Service Providers,No
261,11000000,790000000,0.7%,justin.tv,Multimedia Content,Yes
262,11000000,280000000,0.7%,ups.com,Couriers & Messengers,No
263,11000000,2300000000,0.7%,wp.pl,Web Portals,Yes
264,11000000,50000000,0.7%,docin.com,Advertising & Marketing,Yes
265,11000000,73000000,0.7%,pdfqueen.com,Test Preparation,No
266,11000000,160000000,0.7%,dangdang.com,Book Retailers,No
267,11000000,74000000,0.7%,focus.cn,Dictionaries & Encyclopedias,Yes
268,11000000,120000000,0.7%,nextag.com,Price Comparisons,No
269,11000000,88000000,0.7%,ziddu.com,File Sharing & Hosting,Yes
270,11000000,97000000,0.7%,hubpages.com,How-To & Expert Content,Yes
271,11000000,89000000,0.7%,kioskea.net,Operating Systems,Yes
272,11000000,190000000,0.7%,babylon.com,Language Study & Translation,Yes
273,11000000,170000000,0.7%,last.fm,Music Streams & Downloads,Yes
274,11000000,1300000000,0.7%,wellsfargo.com,Banking & Personal Finance,Yes
275,11000000,1000000000,0.7%,gmx.net,Social Networks,Yes
276,11000000,970000000,0.7%,friendster.com,Social Networks,Yes
277,11000000,170000000,0.7%,wsj.com,Newspapers,Yes
278,11000000,66000000,0.7%,slideshare.net,Photo & Video Sharing,No
279,11000000,590000000,0.7%,foxnews.com,News Networks,Yes
280,11000000,160000000,0.7%,ganji.com,Classifieds,Yes
281,11000000,89000000,0.7%,iza.ne.jp,News Networks,Yes
282,11000000,400000000,0.7%,51.com,Social Networks,Yes
283,11000000,73000000,0.7%,metrolyrics.com,Lyrics & Tabs,Yes
284,11000000,61000000,0.7%,yesky.com,Computers & Electronics,Yes
285,11000000,300000000,0.7%,usps.com,Couriers & Messengers,No
286,11000000,110000000,0.7%,alisoft.com,Advertising & Marketing,Yes
287,11000000,74000000,0.7%,mainichi.jp,Newspapers,No
288,11000000,340000000,0.7%,irs.gov,Accounting & Tax,No
289,11000000,530000000,0.7%,bigpoint.com,Online Games,Yes
290,11000000,45000000,0.7%,china.com.cn,Internet,Yes
291,11000000,96000000,0.7%,iciba.com,Language Study & Translation,Yes
292,10000000,490000000,0.6%,hulu.com,Video Clips & Movie Downloads,Yes
293,10000000,370000000,0.6%,gmarket.co.kr,Shopping,No
294,10000000,170000000,0.6%,tabelog.com,Restaurants,No
295,10000000,150000000,0.7%,gamespot.com,Video Games,Yes
296,10000000,130000000,0.6%,symantec.com,Antivirus & Malware,No
297,10000000,160000000,0.7%,nokia.com,Mobile Phones,No
298,10000000,89000000,0.6%,pcpop.com,Hardware,Yes
299,10000000,67000000,0.6%,dion.ne.jp,ISPs,Yes
300,10000000,270000000,0.6%,torrentz.com,File Sharing & Hosting,No
301,10000000,140000000,0.7%,pptv.com,Movies,No
302,10000000,160000000,0.7%,telegraph.co.uk,Newspapers,Yes
303,10000000,170000000,0.7%,duowan.com,Online Games,Yes
304,10000000,140000000,0.6%,joins.com,Lifestyles,Yes
305,10000000,250000000,0.6%,wordreference.com,Language Study & Translation,Yes
306,10000000,50000000,0.6%,peeplo.com,Search Engines,Yes
307,10000000,190000000,0.7%,ign.com,Video Games,Yes
308,10000000,140000000,0.7%,huanqiu.com,News & Current Events,Yes
309,10000000,130000000,0.6%,aweber.com,Email & Messaging,Yes
310,10000000,160000000,0.7%,guardian.co.uk,Newspapers,Yes
311,10000000,130000000,0.6%,samsung.com,Televisions,No
312,10000000,2100000000,0.6%,skyrock.com,Radio,Yes
313,10000000,73000000,0.6%,sun.com,Java,No
314,10000000,45000000,0.7%,the2009.cn,,No
315,9900000,230000000,0.6%,musica.com,Lyrics & Tabs,Yes
316,9900000,250000000,0.6%,icq.com,Forum & Chat Providers,Yes
317,9900000,4000000000,0.6%,allegro.pl,Auctions,No
318,9900000,450000000,0.6%,virgilio.it,Search Engines,No
319,9900000,150000000,0.6%,nhk.or.jp,TV Networks,No
320,9900000,35000000,0.6%,linekong.com,Online Games,No
321,9900000,45000000,0.6%,hudong.com,Web Services,Yes
322,9900000,170000000,0.6%,comcast.com,Cable & Satellite Providers,Yes
323,9900000,170000000,0.6%,pcauto.com.cn,Automotive,Yes
324,9900000,110000000,0.6%,sponichi.co.jp,Sports,Yes
325,9900000,340000000,0.6%,isohunt.com,File Sharing & Hosting,No
326,9900000,81000000,0.6%,springerlink.com,Educational Resources,Yes
327,9900000,34000000,0.6%,traviangames.com,Online Games,No
328,9900000,120000000,0.6%,zimbio.com,Entertainment,Yes
329,9900000,41000000,0.6%,robtex.com,Development Tools,Yes
330,9900000,2800000000,0.6%,wretch.cc,Local,Yes
331,9900000,210000000,0.6%,japanpost.jp,Freight & Trucking,No
332,9900000,38000000,0.6%,onlinedown.net,Software,Yes
333,9800000,480000000,0.6%,godaddy.com,Web Hosting & Domain Registration,No
334,9800000,98000000,0.6%,vimeo.com,Photo & Video Sharing,No
335,9800000,300000000,0.6%,qidian.com,Fan Fiction,Yes
336,9800000,66000000,0.6%,mapion.co.jp,Japan,Yes
337,9800000,230000000,0.6%,washingtonpost.com,Newspapers,Yes
338,9800000,51000000,0.6%,118114.cn,Restaurants,Yes
339,9800000,50000000,0.6%,ieaddons.com,Central & Eastern Europe,No
340,9800000,120000000,0.6%,rockyou.com,MySpace Codes & Graphics,Yes
341,9800000,230000000,0.6%,wikimapia.org,Maps & Geography,Yes
342,9800000,300000000,0.6%,jiayuan.com,Matrimonial Services,No
343,9800000,160000000,0.6%,sanspo.com,Newspapers,Yes
344,9800000,190000000,0.6%,whitepages.com,Industries,Yes
345,9800000,170000000,0.6%,yelp.com,Restaurants,Yes
346,9800000,61000000,0.6%,real.com,Audio & Multimedia,Yes
347,9800000,90000000,0.6%,bizrate.com,Price Comparisons,No
348,9800000,970000000,0.6%,formspring.me,Cards & Greetings,No
349,9800000,110000000,0.6%,amazon.cn,Book Retailers,No
350,9800000,89000000,0.6%,hc360.com,E-Commerce,Yes
351,9700000,160000000,0.6%,17173.com,Cheats & Hints,Yes
352,9100000,61000000,0.6%,ineedfile.com,Hacking & Cracking,No
353,9100000,160000000,0.6%,360buy.com,Mobile Phones,Yes
354,9100000,55000000,0.6%,8684.cn,Traffic & Public Transit,Yes
355,9100000,46000000,0.6%,pplive.com,TV,No
356,9100000,170000000,0.6%,over-blog.com,Blogging Resources & Services,Yes
357,9100000,410000000,0.6%,baixaki.com.br,File Sharing & Hosting,Yes
358,9100000,130000000,0.6%,beemp3.com,Music,No
359,9100000,210000000,0.6%,cnzz.com,Web Stats & Analytics,No
360,9100000,160000000,0.6%,usatoday.com,Newspapers,Yes
361,9100000,51000000,0.6%,yahooapis.com,Mass Merchants & Department Stores,No
362,9000000,110000000,0.6%,tenpay.com,Merchant Services & Payment Systems,No
363,9000000,170000000,0.6%,asahi.com,Newspapers,Yes
364,9000000,160000000,0.6%,surveymonkey.com,Internet Software,No
365,9000000,55000000,0.6%,21cn.com,Web Portals,Yes
366,9000000,280000000,0.6%,nba.com,Basketball,Yes
367,9000000,55000000,0.6%,informer.com,Software,Yes
368,9000000,370000000,0.6%,intuit.com,USA,No
369,9000000,55000000,0.6%,sparkstudios.com,,No
370,9000000,150000000,0.6%,letitbit.net,File Sharing & Hosting,No
371,9000000,88000000,0.6%,plala.or.jp,Web Hosting & Domain Registration,Yes
372,9000000,330000000,0.6%,homedepot.com,Home Improvement,No
373,9000000,96000000,0.6%,ctrip.com,Travel,No
374,9000000,55000000,0.6%,opera.com,Mobile & Wireless,Yes
375,9000000,34000000,0.6%,37cs.com,,No
376,9000000,80000000,0.6%,jiji.com,Newspapers,Yes
377,9000000,160000000,0.6%,ucoz.ru,Web Design & Development,Yes
378,9000000,160000000,0.6%,webmd.com,Medical Literature & Resources,No
379,9000000,370000000,0.6%,sonico.com,Social Networks,Yes
380,9000000,67000000,0.6%,avast.com,Antivirus & Malware,No
381,9000000,410000000,0.6%,linternaute.com,Social Networks,Yes
382,9000000,46000000,0.6%,letv.com,Entertainment,No
383,8900000,50000000,0.6%,ip138.com,Online Directories,Yes
384,8900000,370000000,0.6%,careerbuilder.com,Jobs,Yes
385,8900000,250000000,0.6%,ibm.com,Computers & Electronics,Yes
386,8900000,73000000,0.6%,associatedcontent.com,How-To & Expert Content,Yes
387,8900000,170000000,0.6%,gnavi.co.jp,Restaurants,No
388,8900000,73000000,0.6%,rincondelvago.com,Education,Yes
389,8900000,330000000,0.6%,indiatimes.com,Newspapers,Yes
390,8900000,41000000,0.6%,ddmap.com,Regional Content,No
391,8900000,170000000,0.6%,veoh.com,Video Clips & Movie Downloads,Yes
392,8900000,140000000,0.6%,dtiblog.com,Blogging Resources & Services,Yes
393,8900000,210000000,0.6%,zylom.com,Online Games,Yes
394,8800000,80000000,0.6%,monografias.com,Educational Resources,Yes
395,8800000,230000000,0.6%,auction.co.kr,Price Comparisons,No
396,8800000,260000000,0.6%,fedex.com,Couriers & Messengers,No
397,8800000,340000000,0.6%,liveinternet.ru,Online Directories,Yes
398,8300000,66000000,0.5%,koubei.com,Rental Listings & Referrals,No
399,8300000,3700000000,0.5%,leboncoin.fr,Vehicle Shopping,Yes
400,8300000,55000000,0.5%,game2.cn,Flash Content,No
401,8300000,46000000,0.5%,suite101.com,How-To & Expert Content,Yes
402,8300000,80000000,0.5%,squidoo.com,Blogging Resources & Services,Yes
403,8300000,89000000,0.5%,teacup.com,Forum & Chat Providers,Yes
404,8300000,34000000,0.5%,windowslive.com,Email & Messaging,No
405,8300000,190000000,0.5%,addictinggames.com,Online Games,Yes
406,8300000,72000000,0.5%,filehippo.com,Software,Yes
407,8300000,81000000,0.5%,sdo.com,Online Games,Yes
408,8300000,50000000,0.5%,shld.net,,No
409,8300000,98000000,0.5%,ustream.tv,TV,Yes
410,8300000,42000000,0.5%,tistory.com,Blogging Resources & Services,Yes
411,8300000,50000000,0.5%,115.com,Search Engines,Yes
412,8300000,28000000,0.5%,liutilities.com,Antivirus & Malware,No
413,8300000,280000000,0.5%,jalan.net,Hotels & Accommodations,No
414,8300000,230000000,0.5%,webs.com,Internet Software,Yes
415,8300000,38000000,0.5%,naqigs.com,,No
416,8300000,73000000,0.5%,ccb.com.cn,Banking & Personal Finance,No
417,8200000,55000000,0.5%,it168.com,Computers & Electronics,Yes
418,8200000,42000000,0.5%,etology.com,Language Study & Translation,No
419,8200000,26000000,0.5%,everesttech.net,,No
420,8200000,170000000,0.5%,intelius.com,Search Engines,No
421,8200000,50000000,0.5%,sina.com,Web Portals,Yes
422,8200000,41000000,0.5%,pomoho.com,Video Clips & Movie Downloads,Yes
423,8200000,23000000,0.5%,serving-sys.com,Advertising & Marketing,No
424,8200000,98000000,0.5%,sciencedirect.com,Science,Yes
