Name,% frequency,Approximate Number,Rank
PRISCILLA,0.071,107784,273
NAOMI,0.071,107784,274
CAROLE,0.071,107784,275
BRANDY,0.07,106266,276
OLGA,0.07,106266,277
BILLIE,0.069,104748,278
DIANNE,0.069,104748,279
TRACEY,0.069,104748,280
LEONA,0.069,104748,281
JENNY,0.068,103230,282
FELICIA,0.068,103230,283
SONIA,0.068,103230,284
MIRIAM,0.066,100194,285
VELMA,0.066,100194,286
BECKY,0.066,100194,287
BOBBIE,0.065,98676,288
VIOLET,0.065,98676,289
KRISTINA,0.065,98676,290
TONI,0.064,97158,291
MISTY,0.063,95640,292
MAE,0.063,95640,293
SHELLY,0.062,94122,294
DAISY,0.062,94122,295
RAMONA,0.062,94122,296
SHERRI,0.062,94122,297
ERIKA,0.061,92604,298
KATRINA,0.061,92604,299
CLAIRE,0.061,92604,300
LINDSEY,0.06,91085,301
LINDSAY,0.06,91085,302
GENEVA,0.059,89567,303
GUADALUPE,0.059,89567,304
BELINDA,0.059,89567,305
MARGARITA,0.059,89567,306
SHERYL,0.059,89567,307
CORA,0.058,88049,308
FAYE,0.058,88049,309
ADA,0.057,86531,310
NATASHA,0.057,86531,311
SABRINA,0.057,86531,312
ISABEL,0.057,86531,313
MARGUERITE,0.056,85013,314
HATTIE,0.056,85013,315
HARRIET,0.056,85013,316
MOLLY,0.055,83495,317
CECILIA,0.055,83495,318
KRISTI,0.055,83495,319
BRANDI,0.055,83495,320
BLANCHE,0.055,83495,321
SANDY,0.055,83495,322
ROSIE,0.055,83495,323
JOANNA,0.055,83495,324
IRIS,0.055,83495,325
EUNICE,0.054,81977,326
ANGIE,0.054,81977,327
INEZ,0.053,80459,328
LYNDA,0.053,80459,329
MADELINE,0.052,78941,330
AMELIA,0.052,78941,331
ALBERTA,0.052,78941,332
GENEVIEVE,0.051,77423,333
MONIQUE,0.051,77423,334
JODI,0.051,77423,335
JANIE,0.051,77423,336
MAGGIE,0.051,77423,337
KAYLA,0.051,77423,338
SONYA,0.051,77423,339
JAN,0.051,77423,340
LEE,0.051,77423,341
KRISTINE,0.051,77423,342
CANDACE,0.051,77423,343
FANNIE,0.05,75905,344
MARYANN,0.05,75905,345
OPAL,0.05,75905,346
ALISON,0.05,75905,347
YVETTE,0.05,75905,348
MELODY,0.05,75905,349
LUZ,0.049,74386,350
SUSIE,0.049,74386,351
OLIVIA,0.049,74386,352
FLORA,0.049,74386,353
SHELLEY,0.049,74386,354
KRISTY,0.048,72868,355
MAMIE,0.048,72868,356
LULA,0.048,72868,357
LOLA,0.048,72868,358
VERNA,0.048,72868,359
BEULAH,0.048,72868,360
ANTOINETTE,0.048,72868,361
CANDICE,0.046,69832,362
JUANA,0.046,69832,363
JEANNETTE,0.046,69832,364
PAM,0.046,69832,365
KELLI,0.046,69832,366
HANNAH,0.045,68314,367
WHITNEY,0.045,68314,368
BRIDGET,0.045,68314,369
KARLA,0.044,66796,370
CELIA,0.044,66796,371
LATOYA,0.043,65278,372
PATTY,0.043,65278,373
SHELIA,0.043,65278,374
GAYLE,0.043,65278,375
DELLA,0.043,65278,376
VICKY,0.043,65278,377
LYNNE,0.043,65278,378
SHERI,0.042,63760,379
MARIANNE,0.042,63760,380
KARA,0.041,62242,381
JACQUELYN,0.041,62242,382
ERMA,0.041,62242,383
BLANCA,0.041,62242,384
MYRA,0.04,60724,385
LETICIA,0.04,60724,386
PAT,0.04,60724,387
KRISTA,0.04,60724,388
ROXANNE,0.04,60724,389
ANGELICA,0.039,59206,390
JOHNNIE,0.039,59206,391
ROBYN,0.039,59206,392
FRANCIS,0.039,59206,393
ADRIENNE,0.039,59206,394
ROSALIE,0.039,59206,395
ALEXANDRA,0.039,59206,396
BROOKE,0.039,59206,397
BETHANY,0.039,59206,398
SADIE,0.039,59206,399
BERNADETTE,0.039,59206,400
TRACI,0.038,57687,401
JODY,0.038,57687,402
KENDRA,0.038,57687,403
JASMINE,0.038,57687,404
NICHOLE,0.038,57687,405
RACHAEL,0.038,57687,406
CHELSEA,0.038,57687,407
MABLE,0.038,57687,408
ERNESTINE,0.038,57687,409
MURIEL,0.038,57687,410
MARCELLA,0.037,56169,411
ELENA,0.037,56169,412
KRYSTAL,0.037,56169,413
ANGELINA,0.037,56169,414
NADINE,0.036,54651,415
KARI,0.036,54651,416
ESTELLE,0.036,54651,417
DIANNA,0.036,54651,418
PAULETTE,0.036,54651,419
LORA,0.036,54651,420
MONA,0.035,53133,421
DOREEN,0.035,53133,422
ROSEMARIE,0.035,53133,423
ANGEL,0.035,53133,424
DESIREE,0.035,53133,425
ANTONIA,0.035,53133,426
HOPE,0.034,51615,427
GINGER,0.034,51615,428
JANIS,0.034,51615,429
BETSY,0.034,51615,430
CHRISTIE,0.034,51615,431
FREDA,0.034,51615,432
MERCEDES,0.033,50097,433
MEREDITH,0.033,50097,434
LYNETTE,0.033,50097,435
TERI,0.033,50097,436
CRISTINA,0.033,50097,437
EULA,0.033,50097,438
LEIGH,0.032,48579,439
MEGHAN,0.032,48579,440
SOPHIA,0.032,48579,441
ELOISE,0.032,48579,442
ROCHELLE,0.032,48579,443
GRETCHEN,0.032,48579,444
CECELIA,0.032,48579,445
RAQUEL,0.031,47061,446
HENRIETTA,0.031,47061,447
ALYSSA,0.031,47061,448
JANA,0.031,47061,449
KELLEY,0.031,47061,450
GWEN,0.031,47061,451
KERRY,0.031,47061,452
JENNA,0.03,45543,453
TRICIA,0.03,45543,454
LAVERNE,0.03,45543,455
OLIVE,0.03,45543,456
ALEXIS,0.03,45543,457
TASHA,0.03,45543,458
SILVIA,0.029,44025,459
ELVIRA,0.029,44025,460
CASEY,0.029,44025,461
DELIA,0.029,44025,462
SOPHIE,0.029,44025,463
KATE,0.029,44025,464
PATTI,0.029,44025,465
LORENA,0.029,44025,466
KELLIE,0.029,44025,467
SONJA,0.029,44025,468
LILA,0.029,44025,469
LANA,0.029,44025,470
DARLA,0.029,44025,471
MAY,0.029,44025,472
MINDY,0.029,44025,473
ESSIE,0.029,44025,474
MANDY,0.029,44025,475
LORENE,0.028,42507,476
ELSA,0.028,42507,477
JOSEFINA,0.028,42507,478
JEANNIE,0.028,42507,479
MIRANDA,0.028,42507,480
DIXIE,0.028,42507,481
LUCIA,0.028,42507,482
MARTA,0.028,42507,483
FAITH,0.028,42507,484
LELA,0.028,42507,485
JOHANNA,0.028,42507,486
SHARI,0.028,42507,487
CAMILLE,0.028,42507,488
TAMI,0.027,40988,489
SHAWNA,0.027,40988,490
ELISA,0.027,40988,491
EBONY,0.027,40988,492
MELBA,0.027,40988,493
ORA,0.027,40988,494
NETTIE,0.027,40988,495
TABITHA,0.027,40988,496
OLLIE,0.027,40988,497
JAIME,0.027,40988,498
WINIFRED,0.027,40988,499
KRISTIE,0.027,40988,500
MARINA,0.027,40988,501
ALISHA,0.027,40988,502
AIMEE,0.027,40988,503
RENA,0.027,40988,504
MYRNA,0.026,39470,505
MARLA,0.026,39470,506
TAMMIE,0.026,39470,507
LATASHA,0.026,39470,508
BONITA,0.026,39470,509
PATRICE,0.026,39470,510
RONDA,0.026,39470,511
SHERRIE,0.026,39470,512
ADDIE,0.026,39470,513
FRANCINE,0.025,37952,514
DELORIS,0.025,37952,515
STACIE,0.025,37952,516
ADRIANA,0.025,37952,517
CHERI,0.025,37952,518
SHELBY,0.025,37952,519
ABIGAIL,0.025,37952,520
CELESTE,0.025,37952,521
JEWEL,0.025,37952,522
CARA,0.025,37952,523
ADELE,0.025,37952,524
REBEKAH,0.025,37952,525
LUCINDA,0.025,37952,526
DORTHY,0.025,37952,527
CHRIS,0.024,36434,528
EFFIE,0.024,36434,529
TRINA,0.024,36434,530
REBA,0.024,36434,531
SHAWN,0.024,36434,532
SALLIE,0.024,36434,533
AURORA,0.024,36434,534
LENORA,0.024,36434,535
ETTA,0.024,36434,536
LOTTIE,0.024,36434,537
KERRI,0.024,36434,538
TRISHA,0.024,36434,539
NIKKI,0.024,36434,540
ESTELLA,0.024,36434,541
FRANCISCA,0.024,36434,542
JOSIE,0.024,36434,543
TRACIE,0.024,36434,544
MARISSA,0.024,36434,545
KARIN,0.024,36434,546
BRITTNEY,0.024,36434,547
JANELLE,0.024,36434,548
LOURDES,0.024,36434,549
LAUREL,0.024,36434,550
HELENE,0.024,36434,551
FERN,0.024,36434,552
ELVA,0.024,36434,553
CORINNE,0.024,36434,554
KELSEY,0.024,36434,555
INA,0.023,34916,556
BETTIE,0.023,34916,557
ELISABETH,0.023,34916,558
AIDA,0.023,34916,559
CAITLIN,0.023,34916,560
INGRID,0.023,34916,561
IVA,0.023,34916,562
EUGENIA,0.023,34916,563
CHRISTA,0.023,34916,564
GOLDIE,0.023,34916,565
CASSIE,0.023,34916,566
MAUDE,0.023,34916,567
JENIFER,0.023,34916,568
THERESE,0.022,33398,569
FRANKIE,0.022,33398,570
DENA,0.022,33398,571
LORNA,0.022,33398,572
JANETTE,0.022,33398,573
LATONYA,0.022,33398,574
CANDY,0.022,33398,575
MORGAN,0.022,33398,576
CONSUELO,0.022,33398,577
TAMIKA,0.022,33398,578
ROSETTA,0.022,33398,579
DEBORA,0.022,33398,580
CHERIE,0.022,33398,581
POLLY,0.022,33398,582
DINA,0.022,33398,583
JEWELL,0.021,31880,584
FAY,0.021,31880,585
JILLIAN,0.021,31880,586
DOROTHEA,0.021,31880,587
NELL,0.021,31880,588
TRUDY,0.021,31880,589
ESPERANZA,0.021,31880,590
PATRICA,0.021,31880,591
KIMBERLEY,0.021,31880,592
SHANNA,0.021,31880,593
HELENA,0.021,31880,594
CAROLINA,0.021,31880,595
CLEO,0.021,31880,596
STEFANIE,0.021,31880,597
ROSARIO,0.02,30362,598
OLA,0.02,30362,599
JANINE,0.02,30362,600
MOLLIE,0.02,30362,601
LUPE,0.02,30362,602
ALISA,0.02,30362,603
LOU,0.02,30362,604
MARIBEL,0.02,30362,605
SUSANNE,0.02,30362,606
BETTE,0.019,28844,607
SUSANA,0.019,28844,608
ELISE,0.019,28844,609
CECILE,0.019,28844,610
ISABELLE,0.019,28844,611
LESLEY,0.019,28844,612
JOCELYN,0.019,28844,613
PAIGE,0.019,28844,614
JONI,0.019,28844,615
RACHELLE,0.019,28844,616
LEOLA,0.019,28844,617
DAPHNE,0.019,28844,618
ALTA,0.019,28844,619
ESTER,0.019,28844,620
PETRA,0.019,28844,621
GRACIELA,0.019,28844,622
IMOGENE,0.019,28844,623
JOLENE,0.019,28844,624
KEISHA,0.019,28844,625
LACEY,0.018,27326,626
GLENNA,0.018,27326,627
GABRIELA,0.018,27326,628
KERI,0.018,27326,629
URSULA,0.018,27326,630
LIZZIE,0.018,27326,631
KIRSTEN,0.018,27326,632
SHANA,0.018,27326,633
ADELINE,0.018,27326,634
MAYRA,0.018,27326,635
JAYNE,0.018,27326,636
JACLYN,0.018,27326,637
GRACIE,0.018,27326,638
SONDRA,0.018,27326,639
CARMELA,0.018,27326,640
MARISA,0.018,27326,641
ROSALIND,0.018,27326,642
CHARITY,0.018,27326,643
TONIA,0.018,27326,644
BEATRIZ,0.018,27326,645
MARISOL,0.018,27326,646
CLARICE,0.018,27326,647
JEANINE,0.017,25808,648
SHEENA,0.017,25808,649
ANGELINE,0.017,25808,650
FRIEDA,0.017,25808,651
LILY,0.017,25808,652
ROBBIE,0.017,25808,653
SHAUNA,0.017,25808,654
MILLIE,0.017,25808,655
CLAUDETTE,0.017,25808,656
CATHLEEN,0.017,25808,657
ANGELIA,0.017,25808,658
GABRIELLE,0.017,25808,659
AUTUMN,0.017,25808,660
KATHARINE,0.017,25808,661
SUMMER,0.017,25808,662
JODIE,0.017,25808,663
STACI,0.017,25808,664
LEA,0.017,25808,665
CHRISTI,0.017,25808,666
JIMMIE,0.017,25808,667
JUSTINE,0.017,25808,668
ELMA,0.017,25808,669
LUELLA,0.017,25808,670
MARGRET,0.017,25808,671
DOMINIQUE,0.016,24289,672
SOCORRO,0.016,24289,673
RENE,0.016,24289,674
MARTINA,0.016,24289,675
MARGO,0.016,24289,676
MAVIS,0.016,24289,677
CALLIE,0.016,24289,678
BOBBI,0.016,24289,679
MARITZA,0.016,24289,680
LUCILE,0.016,24289,681
LEANNE,0.016,24289,682
JEANNINE,0.016,24289,683
DEANA,0.016,24289,684
AILEEN,0.016,24289,685
LORIE,0.016,24289,686
LADONNA,0.016,24289,687
WILLA,0.016,24289,688
MANUELA,0.016,24289,689
GALE,0.016,24289,690
SELMA,0.016,24289,691
DOLLY,0.016,24289,692
SYBIL,0.016,24289,693
ABBY,0.016,24289,694
LARA,0.016,24289,695
DALE,0.016,24289,696
IVY,0.016,24289,697
DEE,0.016,24289,698
WINNIE,0.016,24289,699
MARCY,0.016,24289,700
LUISA,0.016,24289,701
JERI,0.015,22771,702
MAGDALENA,0.015,22771,703
OFELIA,0.015,22771,704
MEAGAN,0.015,22771,705
AUDRA,0.015,22771,706
MATILDA,0.015,22771,707
LEILA,0.015,22771,708
CORNELIA,0.015,22771,709
BIANCA,0.015,22771,710
SIMONE,0.015,22771,711
BETTYE,0.015,22771,712
RANDI,0.015,22771,713
VIRGIE,0.015,22771,714
LATISHA,0.015,22771,715
BARBRA,0.015,22771,716
GEORGINA,0.015,22771,717
ELIZA,0.015,22771,718
LEANN,0.015,22771,719
BRIDGETTE,0.015,22771,720
RHODA,0.014,21253,721
HALEY,0.014,21253,722
ADELA,0.014,21253,723
NOLA,0.014,21253,724
BERNADINE,0.014,21253,725
FLOSSIE,0.014,21253,726
ILA,0.014,21253,727
GRETA,0.014,21253,728
RUTHIE,0.014,21253,729
NELDA,0.014,21253,730
MINERVA,0.014,21253,731
LILLY,0.014,21253,732
TERRIE,0.014,21253,733
LETHA,0.014,21253,734
HILARY,0.014,21253,735
ESTELA,0.014,21253,736
VALARIE,0.014,21253,737
BRIANNA,0.014,21253,738
ROSALYN,0.014,21253,739
EARLINE,0.014,21253,740
CATALINA,0.014,21253,741
AVA,0.014,21253,742
MIA,0.014,21253,743
CLARISSA,0.014,21253,744
LIDIA,0.014,21253,745
CORRINE,0.014,21253,746
ALEXANDRIA,0.014,21253,747
CONCEPCION,0.014,21253,748
TIA,0.014,21253,749
SHARRON,0.014,21253,750
RAE,0.014,21253,751
DONA,0.014,21253,752
ERICKA,0.014,21253,753
JAMI,0.014,21253,754
ELNORA,0.014,21253,755
CHANDRA,0.014,21253,756
LENORE,0.014,21253,757
NEVA,0.013,19735,758
MARYLOU,0.013,19735,759
MELISA,0.013,19735,760
TABATHA,0.013,19735,761
SERENA,0.013,19735,762
AVIS,0.013,19735,763
ALLIE,0.013,19735,764
SOFIA,0.013,19735,765
JEANIE,0.013,19735,766
ODESSA,0.013,19735,767
NANNIE,0.013,19735,768
HARRIETT,0.013,19735,769
LORAINE,0.013,19735,770
PENELOPE,0.013,19735,771
MILAGROS,0.013,19735,772
EMILIA,0.013,19735,773
BENITA,0.013,19735,774
ALLYSON,0.013,19735,775
ASHLEE,0.013,19735,776
TANIA,0.013,19735,777
TOMMIE,0.013,19735,778
ESMERALDA,0.013,19735,779
KARINA,0.013,19735,780
EVE,0.013,19735,781
PEARLIE,0.013,19735,782
ZELMA,0.013,19735,783
MALINDA,0.013,19735,784
NOREEN,0.013,19735,785
TAMEKA,0.013,19735,786
SAUNDRA,0.013,19735,787
HILLARY,0.013,19735,788
AMIE,0.013,19735,789
ALTHEA,0.012,18217,790
ROSALINDA,0.012,18217,791
JORDAN,0.012,18217,792
LILIA,0.012,18217,793
ALANA,0.012,18217,794
GAY,0.012,18217,795
CLARE,0.012,18217,796
ALEJANDRA,0.012,18217,797
ELINOR,0.012,18217,798
MICHAEL,0.012,18217,799
LORRIE,0.012,18217,800
JERRI,0.012,18217,801
DARCY,0.012,18217,802
EARNESTINE,0.012,18217,803
CARMELLA,0.012,18217,804
TAYLOR,0.012,18217,805
NOEMI,0.012,18217,806
MARCIE,0.012,18217,807
LIZA,0.012,18217,808
ANNABELLE,0.012,18217,809
LOUISA,0.012,18217,810
EARLENE,0.012,18217,811
MALLORY,0.012,18217,812
CARLENE,0.012,18217,813
NITA,0.012,18217,814
SELENA,0.012,18217,815
TANISHA,0.012,18217,816
KATY,0.012,18217,817
JULIANNE,0.012,18217,818
JOHN,0.012,18217,819
LAKISHA,0.011,16699,820
EDWINA,0.011,16699,821
MARICELA,0.011,16699,822
MARGERY,0.011,16699,823
KENYA,0.011,16699,824
DOLLIE,0.011,16699,825
ROXIE,0.011,16699,826
ROSLYN,0.011,16699,827
KATHRINE,0.011,16699,828
NANETTE,0.011,16699,829
CHARMAINE,0.011,16699,830
LAVONNE,0.011,16699,831
ILENE,0.011,16699,832
KRIS,0.011,16699,833
TAMMI,0.011,16699,834
SUZETTE,0.011,16699,835
CORINE,0.011,16699,836
KAYE,0.011,16699,837
JERRY,0.011,16699,838
MERLE,0.011,16699,839
CHRYSTAL,0.011,16699,840
LINA,0.011,16699,841
DEANNE,0.011,16699,842
LILIAN,0.011,16699,843
JULIANA,0.011,16699,844
ALINE,0.011,16699,845
LUANN,0.011,16699,846
KASEY,0.011,16699,847
MARYANNE,0.011,16699,848
EVANGELINE,0.011,16699,849
COLETTE,0.011,16699,850
MELVA,0.011,16699,851
LAWANDA,0.011,16699,852
YESENIA,0.011,16699,853
NADIA,0.011,16699,854
MADGE,0.011,16699,855
KATHIE,0.011,16699,856
EDDIE,0.011,16699,857
OPHELIA,0.011,16699,858
VALERIA,0.011,16699,859
NONA,0.011,16699,860
MITZI,0.011,16699,861
MARI,0.011,16699,862
GEORGETTE,0.011,16699,863
CLAUDINE,0.011,16699,864
FRAN,0.011,16699,865
ALISSA,0.011,16699,866
ROSEANN,0.01,15181,867
LAKEISHA,0.01,15181,868
SUSANNA,0.01,15181,869
REVA,0.01,15181,870
DEIDRE,0.01,15181,871
CHASITY,0.01,15181,872
SHEREE,0.01,15181,873
CARLY,0.01,15181,874
JAMES,0.01,15181,875
ELVIA,0.01,15181,876
ALYCE,0.01,15181,877
DEIRDRE,0.01,15181,878
GENA,0.01,15181,879
BRIANA,0.01,15181,880
ARACELI,0.01,15181,881
KATELYN,0.01,15181,882
ROSANNE,0.01,15181,883
WENDI,0.01,15181,884
TESSA,0.01,15181,885
BERTA,0.01,15181,886
MARVA,0.01,15181,887
IMELDA,0.01,15181,888
MARIETTA,0.01,15181,889
MARCI,0.01,15181,890
LEONOR,0.01,15181,891
ARLINE,0.01,15181,892
SASHA,0.01,15181,893
MADELYN,0.01,15181,894
JANNA,0.01,15181,895
JULIETTE,0.01,15181,896
DEENA,0.01,15181,897
AURELIA,0.01,15181,898
JOSEFA,0.01,15181,899
AUGUSTA,0.01,15181,900
LILIANA,0.01,15181,901
YOUNG,0.01,15181,902
CHRISTIAN,0.01,15181,903
LESSIE,0.01,15181,904
AMALIA,0.01,15181,905
SAVANNAH,0.01,15181,906
ANASTASIA,0.01,15181,907
VILMA,0.01,15181,908
NATALIA,0.01,15181,909
ROSELLA,0.01,15181,910
LYNNETTE,0.01,15181,911
CORINA,0.01,15181,912
ALFREDA,0.009,13663,913
LEANNA,0.009,13663,914
CAREY,0.009,13663,915
AMPARO,0.009,13663,916
COLEEN,0.009,13663,917
TAMRA,0.009,13663,918
AISHA,0.009,13663,919
WILDA,0.009,13663,920
KARYN,0.009,13663,921
CHERRY,0.009,13663,922
QUEEN,0.009,13663,923
MAURA,0.009,13663,924
MAI,0.009,13663,925
EVANGELINA,0.009,13663,926
ROSANNA,0.009,13663,927
HALLIE,0.009,13663,928
ERNA,0.009,13663,929
ENID,0.009,13663,930
MARIANA,0.009,13663,931
LACY,0.009,13663,932
JULIET,0.009,13663,933
JACKLYN,0.009,13663,934
FREIDA,0.009,13663,935
MADELEINE,0.009,13663,936
MARA,0.009,13663,937
